Governorate,valid_v,invalid_v,blank_v,total_v,turnout,su_v,sh_v,k_v,sn_v,progov_v,su_sh_vr,sect
Anbar,369755,2662,1261,373678,86.400002,.91690171,0,0,.029043555,0,10,Sunni
Babylon,553133,8140,1227,562500,79.400002,.056894094,.77367288,0,.087850481,.7573567,.073537663,Shia
Baghdad,2392543,29508,23073,2445124,70.099998,.20544834,.60298437,.010640979,.13796283,.59528166,.34071919,Kurdish
Basrah,794286,,,,74.199997,.046706099,.77456355,0,.11020967,.77456355,.060299888,Shia
Dahuk,394662,3325,687,398674,92,0,0,.97308838,.012332071,.89971673,10,Other
Diyala,495522,5833,3873,505228,74.900002,.4843801,.22256328,.13421805,.10619912,.35678133,2.1763704,Kurdish
Erbil,660168,7709,1817,669694,95.300003,0,0,.95154721,0,.95154721,10,Other
Kerbala,302834,3894,550,307278,70.400002,0,.78681719,0,.11723255,.76018876,0,Shia
Missan,317177,2187,265,319629,73.300003,0,.90245825,0,.043338578,.86861593,0,Shia
Muthanna,203902,2341,520,206763,66.099998,0,.89030021,0,.043452248,.86424851,0,Shia
Najaf,368856,5175,512,375543,72.800003,0,.86050928,0,0,.82030118,0,Shia
Ninewa,820350,12146,5822,838318,70.199997,.49774,.074404828,.19196197,.14541355,.26636681,6.6896195,Kurdish
Qadissiya,331302,3324,571,335197,64.699997,0,.82841033,0,.098324187,.81378621,0,Shia
Salah al-Din,487455,6124,5339,498918,98.400002,.62320828,.073752448,.042245951,.16343868,.1159984,8.4500017,Sunni
Sulaymaniyah,787248,7016,2677,796941,84.199997,0,0,.99292344,0,.87126291,10,Other
Tameem,514088,5919,2940,522947,86.099998,.24771245,.03585184,.5288589,.14173254,.55470657,6.9093375,Kurdish
Thi-Qar,576660,4403,1353,582416,71.900002,0,.8953439,0,.050338153,.86633718,0,Shia
Wassit,346564,3395,480,350439,68,.023712792,.851381,0,.080946088,.80682355,.027852152,Shia
