half,country,SIGACT,SIG_1,df,idf,suicide,ied_attack,ied_clear,ied_total,country_1,country_2
88,Iraq,5396,5396,2068,762,2,2396,163,2559,Iraq,Iraq
89,Iraq,10371,10371,3875,1355,1,4248,79,4327,Iraq,Iraq
90,Iraq,13069,13058,3964,490,10,7127,0,7127,Iraq,Iraq
91,Iraq,15436,15404,4341,85,19,8708,0,8708,Iraq,Iraq
92,Iraq,21496,19563,5415,51,28,12058,0,12058,Iraq,Iraq
93,Iraq,38788,29337,10417,200,149,12977,4016,16993,Iraq,Iraq
94,Iraq,40195,32611,11624,604,251,10571,7305,17876,Iraq,Iraq
95,Iraq,26089,22158,8190,1976,124,7235,5093,12328,Iraq,Iraq
96,Iraq,14210,13413,4349,641,84,4146,3802,7948,Iraq,Iraq
97,Iraq,8214,7419,1429,194,75,3224,2220,5444,Iraq,Iraq
98,Iraq,1714,1605,223,19,10,687,554,1241,Iraq,Iraq
