month,country,SIGACT,SIG_1,df,idf,suicide,ied_attack,ied_clear,ied_total,country_1,country_2
529,Iraq,324,324,135,26,2,156,0,156,Iraq,Iraq
530,Iraq,569,569,188,29,0,338,14,352,Iraq,Iraq
531,Iraq,1233,1233,554,189,0,463,27,490,Iraq,Iraq
532,Iraq,1730,1730,629,277,0,765,59,824,Iraq,Iraq
533,Iraq,1540,1540,562,241,0,674,63,737,Iraq,Iraq
534,Iraq,1328,1328,519,173,0,609,27,636,Iraq,Iraq
535,Iraq,2243,2243,989,498,0,719,37,756,Iraq,Iraq
536,Iraq,324,324,118,47,0,149,10,159,Iraq,Iraq
537,Iraq,1631,1631,513,240,1,662,5,667,Iraq,Iraq
538,Iraq,2809,2809,1022,249,0,1165,0,1165,Iraq,Iraq
539,Iraq,2036,2036,714,148,0,944,0,944,Iraq,Iraq
540,Iraq,2778,2778,1013,205,0,1276,0,1276,Iraq,Iraq
541,Iraq,1794,1794,556,72,4,972,0,972,Iraq,Iraq
542,Iraq,1837,1836,548,40,1,1071,0,1071,Iraq,Iraq
543,Iraq,2009,2009,463,38,1,1206,0,1206,Iraq,Iraq
544,Iraq,2348,2346,670,65,3,1346,0,1346,Iraq,Iraq
545,Iraq,2303,2295,714,70,1,1256,0,1256,Iraq,Iraq
546,Iraq,2648,2633,757,60,4,1473,0,1473,Iraq,Iraq
547,Iraq,2872,2866,818,14,2,1586,0,1586,Iraq,Iraq
548,Iraq,2696,2694,715,3,3,1534,0,1534,Iraq,Iraq
549,Iraq,3186,3185,869,4,3,1804,0,1804,Iraq,Iraq
550,Iraq,2863,2861,801,3,4,1667,0,1667,Iraq,Iraq
551,Iraq,1171,1165,381,1,3,644,0,644,Iraq,Iraq
552,Iraq,2652,2650,736,1,6,1580,0,1580,Iraq,Iraq
553,Iraq,2826,2826,745,1,6,1662,0,1662,Iraq,Iraq
554,Iraq,3455,3429,880,8,1,2002,0,2002,Iraq,Iraq
555,Iraq,3905,3507,1036,3,3,2060,0,2060,Iraq,Iraq
556,Iraq,4436,3725,1000,23,7,2437,0,2437,Iraq,Iraq
557,Iraq,4222,3426,1018,15,5,2317,0,2317,Iraq,Iraq
558,Iraq,5246,4289,1314,28,6,2705,0,2705,Iraq,Iraq
559,Iraq,5761,4472,1441,27,3,2800,35,2835,Iraq,Iraq
560,Iraq,6692,4958,1736,47,13,2025,931,2956,Iraq,Iraq
561,Iraq,6938,5168,2070,40,40,1867,991,2858,Iraq,Iraq
562,Iraq,6773,4971,1857,43,49,1677,994,2671,Iraq,Iraq
563,Iraq,7378,5479,1999,15,38,1903,1065,2968,Iraq,Iraq
564,Iraq,7294,5754,2105,11,28,1864,1169,3033,Iraq,Iraq
565,Iraq,6097,5089,1840,32,45,1598,1207,2805,Iraq,Iraq
566,Iraq,6171,5221,1746,45,43,1669,1351,3020,Iraq,Iraq
567,Iraq,6595,5172,1874,73,51,1715,1126,2841,Iraq,Iraq
568,Iraq,7049,5639,1968,117,44,1836,1235,3071,Iraq,Iraq
569,Iraq,6989,5736,2091,326,40,1889,1217,3106,Iraq,Iraq
570,Iraq,6531,5181,2052,622,29,1798,1039,2837,Iraq,Iraq
571,Iraq,5091,4130,1611,483,25,1372,939,2311,Iraq,Iraq
572,Iraq,4427,3687,1310,283,28,1358,888,2246,Iraq,Iraq
573,Iraq,3582,3338,1235,241,15,931,797,1728,Iraq,Iraq
574,Iraq,3217,2864,984,190,18,877,692,1569,Iraq,Iraq
575,Iraq,3241,2958,998,157,9,899,738,1637,Iraq,Iraq
576,Iraq,2522,2447,795,67,15,706,793,1499,Iraq,Iraq
577,Iraq,2234,2122,630,62,12,674,692,1366,Iraq,Iraq
578,Iraq,2929,2772,1106,154,17,746,682,1428,Iraq,Iraq
579,Iraq,2852,2704,953,186,10,794,682,1476,Iraq,Iraq
580,Iraq,2176,2037,601,116,13,660,574,1234,Iraq,Iraq
581,Iraq,1497,1331,264,56,17,566,379,945,Iraq,Iraq
582,Iraq,1437,1292,263,54,15,544,372,916,Iraq,Iraq
583,Iraq,1831,1607,323,48,12,724,455,1179,Iraq,Iraq
584,Iraq,1577,1434,323,24,8,664,365,1029,Iraq,Iraq
585,Iraq,1182,1063,225,24,10,469,311,780,Iraq,Iraq
586,Iraq,1098,1026,133,20,13,429,387,816,Iraq,Iraq
587,Iraq,1089,997,162,24,17,394,330,724,Iraq,Iraq
588,Iraq,951,880,128,11,5,351,316,667,Iraq,Iraq
589,Iraq,763,725,95,8,5,336,238,574,Iraq,Iraq
