quarter,country,SIGACT,SIG_1,df,idf,suicide,ied_attack,ied_clear,ied_total,country_1,country_2
176,Iraq,893,893,323,55,2,494,14,508,Iraq,Iraq
177,Iraq,4503,4503,1745,707,0,1902,149,2051,Iraq,Iraq
178,Iraq,3895,3895,1626,718,0,1477,74,1551,Iraq,Iraq
179,Iraq,6476,6476,2249,637,1,2771,5,2776,Iraq,Iraq
180,Iraq,6409,6408,2117,317,5,3319,0,3319,Iraq,Iraq
181,Iraq,6660,6650,1847,173,5,3808,0,3808,Iraq,Iraq
182,Iraq,8216,8193,2290,77,9,4593,0,4593,Iraq,Iraq
183,Iraq,7220,7211,2051,8,10,4115,0,4115,Iraq,Iraq
184,Iraq,8933,8905,2361,10,13,5244,0,5244,Iraq,Iraq
185,Iraq,12563,10658,3054,41,15,6814,0,6814,Iraq,Iraq
186,Iraq,17699,13719,4491,102,22,7530,966,8496,Iraq,Iraq
187,Iraq,21089,15618,5926,98,127,5447,3050,8497,Iraq,Iraq
188,Iraq,19562,16064,5691,88,116,5131,3727,8858,Iraq,Iraq
189,Iraq,20633,16547,5933,516,135,5440,3578,9018,Iraq,Iraq
190,Iraq,16049,12998,4973,1388,82,4528,2866,7394,Iraq,Iraq
191,Iraq,10040,9160,3217,588,42,2707,2227,4934,Iraq,Iraq
192,Iraq,7685,7341,2531,283,44,2126,2167,4293,Iraq,Iraq
193,Iraq,6525,6072,1818,358,40,2020,1635,3655,Iraq,Iraq
194,Iraq,4845,4333,909,126,35,1932,1192,3124,Iraq,Iraq
195,Iraq,3369,3086,520,68,40,1292,1028,2320,Iraq,Iraq
196,Iraq,1714,1605,223,19,10,687,554,1241,Iraq,Iraq
